ID	Gene Name	Species	KEGG_PATHWAY
BCL10	B-cell CLL/lymphoma 10(BCL10)	Homo sapiens	hsa04064:NF-kappa B signaling pathway,hsa04660:T cell receptor signaling pathway,hsa04662:B cell receptor signaling pathway,hsa05152:Tuberculosis,
BLNK	B-cell linker(BLNK)	Homo sapiens	hsa04064:NF-kappa B signaling pathway,hsa04380:Osteoclast differentiation,hsa04662:B cell receptor signaling pathway,hsa05340:Primary immunodeficiency,
BCAP31	B-cell receptor-associated protein 31(BCAP31)	Homo sapiens	hsa04141:Protein processing in endoplasmic reticulum,
BAK1	BCL2 antagonist/killer 1(BAK1)	Homo sapiens	hsa04141:Protein processing in endoplasmic reticulum,hsa05203:Viral carcinogenesis,hsa05206:MicroRNAs in cancer,
BAX	BCL2 associated X, apoptosis regulator(BAX)	Homo sapiens	hsa04071:Sphingolipid signaling pathway,hsa04115:p53 signaling pathway,hsa04141:Protein processing in endoplasmic reticulum,hsa04210:Apoptosis,hsa04722:Neurotrophin signaling pathway,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05014:Amyotrophic lateral sclerosis (ALS),hsa05016:Huntington's disease,hsa05020:Prion diseases,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05203:Viral carcinogenesis,hsa05210:Colorectal cancer,
MCL1	BCL2 family apoptosis regulator(MCL1)	Homo sapiens	hsa04151:PI3K-Akt signaling pathway,hsa05206:MicroRNAs in cancer,
BNIP3	BCL2 interacting protein 3(BNIP3)	Homo sapiens	hsa04068:FoxO signaling pathway,hsa05134:Legionellosis,
BCL2L1	BCL2 like 1(BCL2L1)	Homo sapiens	hsa04014:Ras signaling pathway,hsa04064:NF-kappa B signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04210:Apoptosis,hsa04630:Jak-STAT signaling pathway,hsa05014:Amyotrophic lateral sclerosis (ALS),hsa05145:Toxoplasmosis,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05202:Transcriptional misregulation in cancer,hsa05212:Pancreatic cancer,hsa05220:Chronic myeloid leukemia,hsa05222:Small cell lung cancer,
BCL2L11	BCL2 like 11(BCL2L11)	Homo sapiens	hsa04068:FoxO signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05206:MicroRNAs in cancer,
BCL2L2	BCL2 like 2(BCL2L2)	Homo sapiens	hsa05206:MicroRNAs in cancer,
BCL2A1	BCL2 related protein A1(BCL2A1)	Homo sapiens	hsa04064:NF-kappa B signaling pathway,hsa05202:Transcriptional misregulation in cancer,
BCL2	BCL2, apoptosis regulator(BCL2)	Homo sapiens	hsa04064:NF-kappa B signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04071:Sphingolipid signaling pathway,hsa04141:Protein processing in endoplasmic reticulum,hsa04151:PI3K-Akt signaling pathway,hsa04210:Apoptosis,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04510:Focal adhesion,hsa04722:Neurotrophin signaling pathway,hsa04725:Cholinergic synapse,hsa05014:Amyotrophic lateral sclerosis (ALS),hsa05145:Toxoplasmosis,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05206:MicroRNAs in cancer,hsa05210:Colorectal cancer,hsa05215:Prostate cancer,hsa05222:Small cell lung cancer,
BID	BH3 interacting domain death agonist(BID)	Homo sapiens	hsa04071:Sphingolipid signaling pathway,hsa04115:p53 signaling pathway,hsa04210:Apoptosis,hsa04650:Natural killer cell mediated cytotoxicity,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05010:Alzheimer's disease,hsa05014:Amyotrophic lateral sclerosis (ALS),hsa05152:Tuberculosis,hsa05200:Pathways in cancer,hsa05416:Viral myocarditis,
BMF	Bcl2 modifying factor(BMF)	Homo sapiens	hsa05206:MicroRNAs in cancer,
CCR6	C-C motif chemokine receptor 6(CCR6)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,
CXCL9	C-X-C motif chemokine ligand 9(CXCL9)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04620:Toll-like receptor signaling pathway,
CXCR4	C-X-C motif chemokine receptor 4(CXCR4)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04144:Endocytosis,hsa04360:Axon guidance,hsa04670:Leukocyte transendothelial migration,hsa04672:Intestinal immune network for IgA production,hsa05200:Pathways in cancer,
CFLAR	CASP8 and FADD like apoptosis regulator(CFLAR)	Homo sapiens	hsa04064:NF-kappa B signaling pathway,hsa04210:Apoptosis,hsa04668:TNF signaling pathway,hsa05142:Chagas disease (American trypanosomiasis),
CD19	CD19 molecule(CD19)	Homo sapiens	hsa04151:PI3K-Akt signaling pathway,hsa04640:Hematopoietic cell lineage,hsa04662:B cell receptor signaling pathway,hsa05169:Epstein-Barr virus infection,hsa05340:Primary immunodeficiency,
CD2	CD2 molecule(CD2)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04640:Hematopoietic cell lineage,
CD22	CD22 molecule(CD22)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04640:Hematopoietic cell lineage,hsa04662:B cell receptor signaling pathway,
CD247	CD247 molecule(CD247)	Homo sapiens	hsa04650:Natural killer cell mediated cytotoxicity,hsa04660:T cell receptor signaling pathway,hsa05142:Chagas disease (American trypanosomiasis),
CD28	CD28 molecule(CD28)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04660:T cell receptor signaling pathway,hsa04672:Intestinal immune network for IgA production,hsa04940:Type I diabetes mellitus,hsa05162:Measles,hsa05320:Autoimmune thyroid disease,hsa05322:Systemic lupus erythematosus,hsa05323:Rheumatoid arthritis,hsa05330:Allograft rejection,hsa05332:Graft-versus-host disease,hsa05416:Viral myocarditis,
CD33	CD33 molecule(CD33)	Homo sapiens	hsa04640:Hematopoietic cell lineage,
CD34	CD34 molecule(CD34)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04640:Hematopoietic cell lineage,
CD3D	CD3d molecule(CD3D)	Homo sapiens	hsa04640:Hematopoietic cell lineage,hsa04660:T cell receptor signaling pathway,hsa05142:Chagas disease (American trypanosomiasis),hsa05162:Measles,hsa05166:HTLV-I infection,hsa05340:Primary immunodeficiency,
CD3E	CD3e molecule(CD3E)	Homo sapiens	hsa04640:Hematopoietic cell lineage,hsa04660:T cell receptor signaling pathway,hsa05142:Chagas disease (American trypanosomiasis),hsa05162:Measles,hsa05166:HTLV-I infection,hsa05340:Primary immunodeficiency,
CD3G	CD3g molecule(CD3G)	Homo sapiens	hsa04640:Hematopoietic cell lineage,hsa04660:T cell receptor signaling pathway,hsa05142:Chagas disease (American trypanosomiasis),hsa05162:Measles,hsa05166:HTLV-I infection,
CD48	CD48 molecule(CD48)	Homo sapiens	hsa04650:Natural killer cell mediated cytotoxicity,
CD5	CD5 molecule(CD5)	Homo sapiens	hsa04640:Hematopoietic cell lineage,
CD6	CD6 molecule(CD6)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),
CD72	CD72 molecule(CD72)	Homo sapiens	hsa04662:B cell receptor signaling pathway,
CD79A	CD79a molecule(CD79A)	Homo sapiens	hsa04662:B cell receptor signaling pathway,hsa05340:Primary immunodeficiency,
CD79B	CD79b molecule(CD79B)	Homo sapiens	hsa04662:B cell receptor signaling pathway,
CD80	CD80 molecule(CD80)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04620:Toll-like receptor signaling pathway,hsa04672:Intestinal immune network for IgA production,hsa04940:Type I diabetes mellitus,hsa05320:Autoimmune thyroid disease,hsa05322:Systemic lupus erythematosus,hsa05323:Rheumatoid arthritis,hsa05330:Allograft rejection,hsa05332:Graft-versus-host disease,hsa05416:Viral myocarditis,
CD86	CD86 molecule(CD86)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04620:Toll-like receptor signaling pathway,hsa04672:Intestinal immune network for IgA production,hsa04940:Type I diabetes mellitus,hsa05202:Transcriptional misregulation in cancer,hsa05320:Autoimmune thyroid disease,hsa05322:Systemic lupus erythematosus,hsa05323:Rheumatoid arthritis,hsa05330:Allograft rejection,hsa05332:Graft-versus-host disease,hsa05416:Viral myocarditis,
CRKL	CRK like proto-oncogene, adaptor protein(CRKL)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04012:ErbB signaling pathway,hsa04015:Rap1 signaling pathway,hsa04062:Chemokine signaling pathway,hsa04510:Focal adhesion,hsa04666:Fc gamma R-mediated phagocytosis,hsa04722:Neurotrophin signaling pathway,hsa04810:Regulation of actin cytoskeleton,hsa04910:Insulin signaling pathway,hsa05100:Bacterial invasion of epithelial cells,hsa05131:Shigellosis,hsa05200:Pathways in cancer,hsa05206:MicroRNAs in cancer,hsa05211:Renal cell carcinoma,hsa05220:Chronic myeloid leukemia,
CBLC	Cbl proto-oncogene C(CBLC)	Homo sapiens	hsa04012:ErbB signaling pathway,hsa04120:Ubiquitin mediated proteolysis,hsa04144:Endocytosis,hsa04660:T cell receptor signaling pathway,hsa04910:Insulin signaling pathway,hsa05100:Bacterial invasion of epithelial cells,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05220:Chronic myeloid leukemia,
