ID	Gene Name	Species	KEGG_PATHWAY
HACL1	2-hydroxyacyl-CoA lyase 1(HACL1)	Homo sapiens	hsa04146:Peroxisome,
DHCR24	24-dehydrocholesterol reductase(DHCR24)	Homo sapiens	hsa00100:Steroid biosynthesis,hsa01100:Metabolic pathways,
BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1(BPNT1)	Homo sapiens	hsa00920:Sulfur metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,
PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1(PAPSS1)	Homo sapiens	hsa00230:Purine metabolism,hsa00450:Selenocompound metabolism,hsa00920:Sulfur metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,
PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2(PAPSS2)	Homo sapiens	hsa00230:Purine metabolism,hsa00450:Selenocompound metabolism,hsa00920:Sulfur metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2(HMGCS2)	Homo sapiens	hsa00072:Synthesis and degradation of ketone bodies,hsa00280:Valine, leucine and isoleucine degradation,hsa00650:Butanoate metabolism,hsa00900:Terpenoid backbone biosynthesis,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,
BDH1	3-hydroxybutyrate dehydrogenase, type 1(BDH1)	Homo sapiens	hsa00072:Synthesis and degradation of ketone bodies,hsa00650:Butanoate metabolism,hsa01100:Metabolic pathways,
HIBADH	3-hydroxyisobutyrate dehydrogenase(HIBADH)	Homo sapiens	hsa00280:Valine, leucine and isoleucine degradation,hsa01100:Metabolic pathways,
HMGCL	3-hydroxymethyl-3-methylglutaryl-CoA lyase(HMGCL)	Homo sapiens	hsa00072:Synthesis and degradation of ketone bodies,hsa00280:Valine, leucine and isoleucine degradation,hsa00650:Butanoate metabolism,hsa01100:Metabolic pathways,hsa04146:Peroxisome,
OXCT1	3-oxoacid CoA-transferase 1(OXCT1)	Homo sapiens	hsa00072:Synthesis and degradation of ketone bodies,hsa00280:Valine, leucine and isoleucine degradation,hsa00650:Butanoate metabolism,
OXCT2	3-oxoacid CoA-transferase 2(OXCT2)	Homo sapiens	hsa00072:Synthesis and degradation of ketone bodies,hsa00280:Valine, leucine and isoleucine degradation,hsa00650:Butanoate metabolism,
ABAT	4-aminobutyrate aminotransferase(ABAT)	Homo sapiens	hsa00250:Alanine, aspartate and glutamate metabolism,hsa00280:Valine, leucine and isoleucine degradation,hsa00410:beta-Alanine metabolism,hsa00640:Propanoate metabolism,hsa00650:Butanoate metabolism,hsa01100:Metabolic pathways,hsa04727:GABAergic synapse,
HPD	4-hydroxyphenylpyruvate dioxygenase(HPD)	Homo sapiens	hsa00130:Ubiquinone and other terpenoid-quinone biosynthesis,hsa00350:Tyrosine metabolism,hsa00360:Phenylalanine metabolism,hsa01100:Metabolic pathways,
NT5C	5', 3'-nucleotidase, cytosolic(NT5C)	Homo sapiens	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,
XRN2	5'-3' exoribonuclease 2(XRN2)	Homo sapiens	hsa03008:Ribosome biogenesis in eukaryotes,hsa03018:RNA degradation,
NT5E	5'-nucleotidase ecto(NT5E)	Homo sapiens	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,
NT5C1A	5'-nucleotidase, cytosolic IA(NT5C1A)	Homo sapiens	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,
NT5C1B	5'-nucleotidase, cytosolic IB(NT5C1B)	Homo sapiens	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,
NT5C2	5'-nucleotidase, cytosolic II(NT5C2)	Homo sapiens	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,
NT5C3A	5'-nucleotidase, cytosolic IIIA(NT5C3A)	Homo sapiens	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,
MTHFS	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)(MTHFS)	Homo sapiens	hsa00670:One carbon pool by folate,hsa01100:Metabolic pathways,
PGLS	6-phosphogluconolactonase(PGLS)	Homo sapiens	hsa00030:Pentose phosphate pathway,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,hsa01200:Carbon metabolism,
