"comm","size","members","numSigEnrichedPathways","conn.pvalue"
1,37,"ACTB  AFF3  ANXA6  AP1S2  ARIH1  ATXN1  BCAP31  BCL2L7P1  CKAP4  DNAJA3  EEF1A1  ENO3  FLNB  GMFB  GTF3C4  IGBP1  KRT17  LRP1B  MAPK7  MPRIP  MYCBP2  NADK  NR5A2  PLAT  RBFOX1  RQCD1  RUVBL1  SIP1  SORBS1  TFAP2A  TMEM16K  TMOD3  TRPV4  UACA  WASF3  YWHAE  YWHAZ",0,"< 2e-03"
2,18,"ADRBK1  APOE  ARID4B  FEZ1  FEZ2  GIT2  HMOX2  MAPT  MCFD2  MSN  NUDT4  PEBP1  PICALM  PRKCQ  PRKCZ  RPS6KB1  SELPLG  SSU72",1,"< 2e-03"
3,8,"BAG5  BCL2L2  CALML3  HIVEP2  LGALS3BP  PHKG2  TBK1  UBR2",0,"< 2e-03"
4,10,"ATF3  CCND1  FOSL2  JUN  NDOR1  NR3C1  PRKDC  RANBP9  SARS  TSC22D3",5,"< 2e-03"
5,7,"CASP2  ELL2  FEM1C  MED8  PHACTR2  PPM1F  TCEB1",0,"< 2e-03"
6,21,"C1QA  CFD  COL2A1  COL6A2  FN1  HIPK3  IGLL1  ISL1  ITGA1  ITGA2B  ITGA3  ITGA5  KIAA0232  MEP1A  PKD1  PPHLN1  RABIF  RAP2C  SPARC  TGFBI  TGM2",15,"< 2e-03"
7,9,"ATG3  CLASP1  GOLGA1  NUP54  NUP98  RAB11FIP2  RASSF8  SEC23A  WDFY3",0,"< 2e-03"
8,21,"ACVR1B  ADCK1  ANAPC7  ANK3  BMP2K  C12orf4  CFL2  CRKL  CSNK1G3  DOK1  GRAP  HIPK1  IFNAR1  KHDRBS1  KIT  LIMK2  MAP4K5  METTL1  METTL2B  RPS6KA3  WIPF1",1,"< 2e-03"
9,3,"EPS8  MRPL20  UBAP1",0,"< 2e-03"
10,3,"ERRFI1  SAMD4A  SASH1",0,"< 2e-03"
11,7,"DPYSL2  KIAA1244  MAP2  MARCKS  NIN  PTPRE  TOB1",0,"< 2e-03"
12,6,"BCL11A  HNF1A  KIF13B  POU2F3  PPAP2B  UTP6",0,"< 2e-03"
13,3,"ARHGDIB  ARHGDIG  RHOBTB1",2,"< 2e-03"
14,3,"MDK  PTPRZ1  TNR",0,"< 2e-03"
