ID	Gene Name	Species	KEGG_PATHWAY
PDPK1	3-phosphoinositide dependent protein kinase 1(PDPK1)	Homo sapiens	hsa03320:PPAR signaling pathway,hsa04068:FoxO signaling pathway,hsa04071:Sphingolipid signaling pathway,hsa04150:mTOR signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04152:AMPK signaling pathway,hsa04510:Focal adhesion,hsa04660:T cell receptor signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa04722:Neurotrophin signaling pathway,hsa04910:Insulin signaling pathway,hsa04919:Thyroid hormone signaling pathway,hsa04931:Insulin resistance,hsa04960:Aldosterone-regulated sodium reabsorption,hsa05145:Toxoplasmosis,hsa05160:Hepatitis C,hsa05205:Proteoglycans in cancer,hsa05213:Endometrial cancer,hsa05215:Prostate cancer,hsa05223:Non-small cell lung cancer,hsa05231:Choline metabolism in cancer,
AZI2	5-azacytidine induced 2(AZI2)	Homo sapiens	hsa04622:RIG-I-like receptor signaling pathway,
ARAF	A-Raf proto-oncogene, serine/threonine kinase(ARAF)	Homo sapiens	hsa04012:ErbB signaling pathway,hsa04068:FoxO signaling pathway,hsa04270:Vascular smooth muscle contraction,hsa04650:Natural killer cell mediated cytotoxicity,hsa04720:Long-term potentiation,hsa04726:Serotonergic synapse,hsa04730:Long-term depression,hsa04810:Regulation of actin cytoskeleton,hsa04910:Insulin signaling pathway,hsa04914:Progesterone-mediated oocyte maturation,hsa05034:Alcoholism,hsa05160:Hepatitis C,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05210:Colorectal cancer,hsa05211:Renal cell carcinoma,hsa05212:Pancreatic cancer,hsa05213:Endometrial cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05218:Melanoma,hsa05219:Bladder cancer,hsa05220:Chronic myeloid leukemia,hsa05221:Acute myeloid leukemia,hsa05223:Non-small cell lung cancer,
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)	Homo sapiens	hsa04012:ErbB signaling pathway,hsa04014:Ras signaling pathway,hsa04110:Cell cycle,hsa04360:Axon guidance,hsa04722:Neurotrophin signaling pathway,hsa05130:Pathogenic Escherichia coli infection,hsa05131:Shigellosis,hsa05200:Pathways in cancer,hsa05206:MicroRNAs in cancer,hsa05220:Chronic myeloid leukemia,hsa05416:Viral myocarditis,
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)	Homo sapiens	hsa04012:ErbB signaling pathway,hsa04014:Ras signaling pathway,hsa05416:Viral myocarditis,
ATM	ATM serine/threonine kinase(ATM)	Homo sapiens	hsa04064:NF-kappa B signaling pathway,hsa04068:FoxO signaling pathway,hsa04110:Cell cycle,hsa04115:p53 signaling pathway,hsa04210:Apoptosis,hsa05166:HTLV-I infection,hsa05202:Transcriptional misregulation in cancer,hsa05206:MicroRNAs in cancer,
ATP5A1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle(ATP5A1)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05016:Huntington's disease,
ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide(ATP5B)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05016:Huntington's disease,
ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1(ATP5C1)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa05010:Alzheimer's disease,hsa05012:Parkinson's disease,hsa05016:Huntington's disease,
ATR	ATR serine/threonine kinase(ATR)	Homo sapiens	hsa03460:Fanconi anemia pathway,hsa04110:Cell cycle,hsa04115:p53 signaling pathway,hsa05166:HTLV-I infection,
