ID	Gene Name	Species	KEGG_PATHWAY
ALS2	ALS2, alsin Rho guanine nucleotide exchange factor(ALS2)	Homo sapiens	hsa05014:Amyotrophic lateral sclerosis (ALS),
ABCA6	ATP binding cassette subfamily A member 6(ABCA6)	Homo sapiens	hsa02010:ABC transporters,
ATP6AP1	ATPase H+ transporting accessory protein 1(ATP6AP1)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04142:Lysosome,hsa04145:Phagosome,hsa05110:Vibrio cholerae infection,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05323:Rheumatoid arthritis,
BBC3	BCL2 binding component 3(BBC3)	Homo sapiens	hsa04115:p53 signaling pathway,hsa04390:Hippo signaling pathway,hsa05016:Huntington's disease,hsa05162:Measles,
CCL20	C-C motif chemokine ligand 20(CCL20)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04668:TNF signaling pathway,hsa05323:Rheumatoid arthritis,
CXCL1	C-X-C motif chemokine ligand 1(CXCL1)	Homo sapiens	hsa04062:Chemokine signaling pathway,hsa04668:TNF signaling pathway,hsa05132:Salmonella infection,hsa05134:Legionellosis,
CXCL2	C-X-C motif chemokine ligand 2(CXCL2)	Homo sapiens	hsa04062:Chemokine signaling pathway,hsa04668:TNF signaling pathway,hsa05132:Salmonella infection,hsa05134:Legionellosis,
CXCL3	C-X-C motif chemokine ligand 3(CXCL3)	Homo sapiens	hsa04062:Chemokine signaling pathway,hsa04668:TNF signaling pathway,hsa05132:Salmonella infection,hsa05134:Legionellosis,
CXCL5	C-X-C motif chemokine ligand 5(CXCL5)	Homo sapiens	hsa04062:Chemokine signaling pathway,hsa05133:Pertussis,hsa05323:Rheumatoid arthritis,
CXCL6	C-X-C motif chemokine ligand 6(CXCL6)	Homo sapiens	hsa04062:Chemokine signaling pathway,hsa05133:Pertussis,hsa05323:Rheumatoid arthritis,
CXCR1	C-X-C motif chemokine receptor 1(CXCR1)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04144:Endocytosis,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,
CXCR2	C-X-C motif chemokine receptor 2(CXCR2)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04144:Endocytosis,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,
CNOT1	CCR4-NOT transcription complex subunit 1(CNOT1)	Homo sapiens	hsa03018:RNA degradation,
CD14	CD14 molecule(CD14)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04064:NF-kappa B signaling pathway,hsa04145:Phagosome,hsa04620:Toll-like receptor signaling pathway,hsa04640:Hematopoietic cell lineage,hsa04810:Regulation of actin cytoskeleton,hsa05130:Pathogenic Escherichia coli infection,hsa05132:Salmonella infection,hsa05133:Pertussis,hsa05134:Legionellosis,hsa05146:Amoebiasis,hsa05152:Tuberculosis,hsa05202:Transcriptional misregulation in cancer,
CD209	CD209 molecule(CD209)	Homo sapiens	hsa04145:Phagosome,hsa05152:Tuberculosis,hsa05162:Measles,
CD226	CD226 molecule(CD226)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),
CD36	CD36 molecule(CD36)	Homo sapiens	hsa03320:PPAR signaling pathway,hsa04145:Phagosome,hsa04152:AMPK signaling pathway,hsa04512:ECM-receptor interaction,hsa04640:Hematopoietic cell lineage,hsa04920:Adipocytokine signaling pathway,hsa04931:Insulin resistance,hsa04975:Fat digestion and absorption,hsa05144:Malaria,
CD40LG	CD40 ligand(CD40LG)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04064:NF-kappa B signaling pathway,hsa04514:Cell adhesion molecules (CAMs),hsa04660:T cell receptor signaling pathway,hsa04672:Intestinal immune network for IgA production,hsa05144:Malaria,hsa05145:Toxoplasmosis,hsa05310:Asthma,hsa05320:Autoimmune thyroid disease,hsa05322:Systemic lupus erythematosus,hsa05330:Allograft rejection,hsa05340:Primary immunodeficiency,hsa05416:Viral myocarditis,
CD44	CD44 molecule (Indian blood group)(CD44)	Homo sapiens	hsa04512:ECM-receptor interaction,hsa04640:Hematopoietic cell lineage,hsa05131:Shigellosis,hsa05169:Epstein-Barr virus infection,hsa05205:Proteoglycans in cancer,hsa05206:MicroRNAs in cancer,
CD46	CD46 molecule(CD46)	Homo sapiens	hsa04610:Complement and coagulation cascades,hsa05162:Measles,
CD47	CD47 molecule(CD47)	Homo sapiens	hsa04512:ECM-receptor interaction,
CD55	CD55 molecule (Cromer blood group)(CD55)	Homo sapiens	hsa04610:Complement and coagulation cascades,hsa04640:Hematopoietic cell lineage,hsa05416:Viral myocarditis,
CD63	CD63 molecule(CD63)	Homo sapiens	hsa04142:Lysosome,hsa05205:Proteoglycans in cancer,
CD7	CD7 molecule(CD7)	Homo sapiens	hsa04640:Hematopoietic cell lineage,
CD81	CD81 molecule(CD81)	Homo sapiens	hsa04662:B cell receptor signaling pathway,hsa05144:Malaria,hsa05160:Hepatitis C,
CD82	CD82 molecule(CD82)	Homo sapiens	hsa04115:p53 signaling pathway,
CD9	CD9 molecule(CD9)	Homo sapiens	hsa04640:Hematopoietic cell lineage,
DCC	DCC netrin 1 receptor(DCC)	Homo sapiens	hsa04360:Axon guidance,hsa05200:Pathways in cancer,hsa05210:Colorectal cancer,
DNTT	DNA nucleotidylexotransferase(DNTT)	Homo sapiens	hsa03450:Non-homologous end-joining,hsa04640:Hematopoietic cell lineage,
EHD2	EH domain containing 2(EHD2)	Homo sapiens	hsa04144:Endocytosis,
FBXO2	F-box protein 2(FBXO2)	Homo sapiens	hsa04120:Ubiquitin mediated proteolysis,hsa04141:Protein processing in endoplasmic reticulum,
F2RL1	F2R like trypsin receptor 1(F2RL1)	Homo sapiens	hsa04080:Neuroactive ligand-receptor interaction,hsa04750:Inflammatory mediator regulation of TRP channels,hsa05143:African trypanosomiasis,
FCAR	Fc fragment of IgA receptor(FCAR)	Homo sapiens	hsa04145:Phagosome,hsa05150:Staphylococcus aureus infection,
FCER2	Fc fragment of IgE receptor II(FCER2)	Homo sapiens	hsa04640:Hematopoietic cell lineage,hsa05169:Epstein-Barr virus infection,
FCER1A	Fc fragment of IgE receptor Ia(FCER1A)	Homo sapiens	hsa04071:Sphingolipid signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa05310:Asthma,
FCER1G	Fc fragment of IgE receptor Ig(FCER1G)	Homo sapiens	hsa04071:Sphingolipid signaling pathway,hsa04611:Platelet activation,hsa04650:Natural killer cell mediated cytotoxicity,hsa04664:Fc epsilon RI signaling pathway,hsa05152:Tuberculosis,hsa05310:Asthma,
FCGR3B	Fc fragment of IgG receptor IIIb(FCGR3B)	Homo sapiens	hsa04145:Phagosome,hsa04380:Osteoclast differentiation,hsa04650:Natural killer cell mediated cytotoxicity,hsa05140:Leishmaniasis,hsa05150:Staphylococcus aureus infection,hsa05152:Tuberculosis,hsa05322:Systemic lupus erythematosus,
FCGR1A	Fc fragment of IgG receptor Ia(FCGR1A)	Homo sapiens	hsa04145:Phagosome,hsa04380:Osteoclast differentiation,hsa04640:Hematopoietic cell lineage,hsa04666:Fc gamma R-mediated phagocytosis,hsa05140:Leishmaniasis,hsa05150:Staphylococcus aureus infection,hsa05152:Tuberculosis,hsa05202:Transcriptional misregulation in cancer,hsa05322:Systemic lupus erythematosus,
GRAP2	GRB2-related adaptor protein 2(GRAP2)	Homo sapiens	hsa04660:T cell receptor signaling pathway,
LRP1	LDL receptor related protein 1(LRP1)	Homo sapiens	hsa05010:Alzheimer's disease,hsa05144:Malaria,
LRP2	LDL receptor related protein 2(LRP2)	Homo sapiens	hsa04340:Hedgehog signaling pathway,hsa04918:Thyroid hormone synthesis,
NLRC4	NLR family CARD domain containing 4(NLRC4)	Homo sapiens	hsa04621:NOD-like receptor signaling pathway,hsa05132:Salmonella infection,hsa05134:Legionellosis,
NLRP1	NLR family pyrin domain containing 1(NLRP1)	Homo sapiens	hsa04621:NOD-like receptor signaling pathway,
RAD51B	RAD51 paralog B(RAD51B)	Homo sapiens	hsa03440:Homologous recombination,
RANBP3	RAN binding protein 3(RANBP3)	Homo sapiens	hsa05166:HTLV-I infection,
SETDB2	SET domain bifurcated 2(SETDB2)	Homo sapiens	hsa00310:Lysine degradation,
SKIV2L2	Ski2 like RNA helicase 2(SKIV2L2)	Homo sapiens	hsa03018:RNA degradation,
TIAM1	T-cell lymphoma invasion and metastasis 1(TIAM1)	Homo sapiens	hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04024:cAMP signaling pathway,hsa04062:Chemokine signaling pathway,hsa04810:Regulation of actin cytoskeleton,hsa05205:Proteoglycans in cancer,
TIMP1	TIMP metallopeptidase inhibitor 1(TIMP1)	Homo sapiens	hsa04066:HIF-1 signaling pathway,
TIMP3	TIMP metallopeptidase inhibitor 3(TIMP3)	Homo sapiens	hsa05205:Proteoglycans in cancer,hsa05206:MicroRNAs in cancer,
TNFRSF10B	TNF receptor superfamily member 10b(TNFRSF10B)	Homo sapiens	hsa04210:Apoptosis,hsa04650:Natural killer cell mediated cytotoxicity,hsa05162:Measles,hsa05164:Influenza A,
TNFRSF11B	TNF receptor superfamily member 11b(TNFRSF11B)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04380:Osteoclast differentiation,
THY1	Thy-1 cell surface antigen(THY1)	Homo sapiens	hsa04670:Leukocyte transendothelial migration,
ACHE	acetylcholinesterase (Cartwright blood group)(ACHE)	Homo sapiens	hsa00564:Glycerophospholipid metabolism,hsa04725:Cholinergic synapse,
AP1M1	adaptor related protein complex 1 mu 1 subunit(AP1M1)	Homo sapiens	hsa04142:Lysosome,
AP1M2	adaptor related protein complex 1 mu 2 subunit(AP1M2)	Homo sapiens	hsa04142:Lysosome,
AP3M1	adaptor related protein complex 3 mu 1 subunit(AP3M1)	Homo sapiens	hsa04142:Lysosome,
AP4B1	adaptor related protein complex 4 beta 1 subunit(AP4B1)	Homo sapiens	hsa04142:Lysosome,
AP4E1	adaptor related protein complex 4 epsilon 1 subunit(AP4E1)	Homo sapiens	hsa04142:Lysosome,
AP4S1	adaptor related protein complex 4 sigma 1 subunit(AP4S1)	Homo sapiens	hsa04142:Lysosome,
AMPD3	adenosine monophosphate deaminase 3(AMPD3)	Homo sapiens	hsa00230:Purine metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,
ADRA1B	adrenoceptor alpha 1B(ADRA1B)	Homo sapiens	hsa04020:Calcium signaling pathway,hsa04022:cGMP-PKG signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04270:Vascular smooth muscle contraction,hsa04970:Salivary secretion,
AGRN	agrin(AGRN)	Homo sapiens	hsa04512:ECM-receptor interaction,
A2M	alpha-2-macroglobulin(A2M)	Homo sapiens	hsa04610:Complement and coagulation cascades,
APP	amyloid beta precursor protein(APP)	Homo sapiens	hsa04726:Serotonergic synapse,hsa05010:Alzheimer's disease,
AMOT	angiomotin(AMOT)	Homo sapiens	hsa04390:Hippo signaling pathway,
AGT	angiotensinogen(AGT)	Homo sapiens	hsa04614:Renin-angiotensin system,hsa04924:Renin secretion,
ANK1	ankyrin 1(ANK1)	Homo sapiens	hsa05205:Proteoglycans in cancer,
APOA1	apolipoprotein A1(APOA1)	Homo sapiens	hsa03320:PPAR signaling pathway,hsa04975:Fat digestion and absorption,hsa04977:Vitamin digestion and absorption,hsa05143:African trypanosomiasis,
APOA2	apolipoprotein A2(APOA2)	Homo sapiens	hsa03320:PPAR signaling pathway,
APOA4	apolipoprotein A4(APOA4)	Homo sapiens	hsa04975:Fat digestion and absorption,hsa04977:Vitamin digestion and absorption,
APOC3	apolipoprotein C3(APOC3)	Homo sapiens	hsa03320:PPAR signaling pathway,
APOE	apolipoprotein E(APOE)	Homo sapiens	hsa05010:Alzheimer's disease,
AQP4	aquaporin 4(AQP4)	Homo sapiens	hsa04962:Vasopressin-regulated water reabsorption,hsa04976:Bile secretion,
