ID	Gene Name	Species	KEGG_PATHWAY
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2(AGPAT2)	Homo sapiens	hsa00561:Glycerolipid metabolism,hsa00564:Glycerophospholipid metabolism,hsa01100:Metabolic pathways,hsa04975:Fat digestion and absorption,
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3(AGPAT3)	Homo sapiens	hsa00561:Glycerolipid metabolism,hsa00564:Glycerophospholipid metabolism,hsa01100:Metabolic pathways,
AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4(AGPAT4)	Homo sapiens	hsa00561:Glycerolipid metabolism,hsa00564:Glycerophospholipid metabolism,hsa01100:Metabolic pathways,
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferase 5(AGPAT5)	Homo sapiens	hsa00561:Glycerolipid metabolism,hsa00564:Glycerophospholipid metabolism,hsa01100:Metabolic pathways,
AKT3	AKT serine/threonine kinase 3(AKT3)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04012:ErbB signaling pathway,hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04062:Chemokine signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04068:FoxO signaling pathway,hsa04071:Sphingolipid signaling pathway,hsa04150:mTOR signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04152:AMPK signaling pathway,hsa04210:Apoptosis,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04370:VEGF signaling pathway,hsa04380:Osteoclast differentiation,hsa04510:Focal adhesion,hsa04530:Tight junction,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04611:Platelet activation,hsa04620:Toll-like receptor signaling pathway,hsa04630:Jak-STAT signaling pathway,hsa04660:T cell receptor signaling pathway,hsa04662:B cell receptor signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa04666:Fc gamma R-mediated phagocytosis,hsa04668:TNF signaling pathway,hsa04722:Neurotrophin signaling pathway,hsa04725:Cholinergic synapse,hsa04728:Dopaminergic synapse,hsa04910:Insulin signaling pathway,hsa04914:Progesterone-mediated oocyte maturation,hsa04915:Estrogen signaling pathway,hsa04917:Prolactin signaling pathway,hsa04919:Thyroid hormone signaling pathway,hsa04920:Adipocytokine signaling pathway,hsa04922:Glucagon signaling pathway,hsa04923:Regulation of lipolysis in adipocytes,hsa04931:Insulin resistance,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa04973:Carbohydrate digestion and absorption,hsa05142:Chagas disease (American trypanosomiasis),hsa05145:Toxoplasmosis,hsa05152:Tuberculosis,hsa05160:Hepatitis C,hsa05161:Hepatitis B,hsa05162:Measles,hsa05164:Influenza A,hsa05166:HTLV-I infection,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05205:Proteoglycans in cancer,hsa05210:Colorectal cancer,hsa05211:Renal cell carcinoma,hsa05212:Pancreatic cancer,hsa05213:Endometrial cancer,hsa05214:Glioma,hsa05215:Prostate cancer,hsa05218:Melanoma,hsa05220:Chronic myeloid leukemia,hsa05221:Acute myeloid leukemia,hsa05222:Small cell lung cancer,hsa05223:Non-small cell lung cancer,hsa05230:Central carbon metabolism in cancer,hsa05231:Choline metabolism in cancer,
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2(AGAP2)	Homo sapiens	hsa04068:FoxO signaling pathway,hsa04144:Endocytosis,
BLNK	B-cell linker(BLNK)	Homo sapiens	hsa04064:NF-kappa B signaling pathway,hsa04380:Osteoclast differentiation,hsa04662:B cell receptor signaling pathway,hsa05340:Primary immunodeficiency,
CXCR4	C-X-C motif chemokine receptor 4(CXCR4)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04144:Endocytosis,hsa04360:Axon guidance,hsa04670:Leukocyte transendothelial migration,hsa04672:Intestinal immune network for IgA production,hsa05200:Pathways in cancer,
CD19	CD19 molecule(CD19)	Homo sapiens	hsa04151:PI3K-Akt signaling pathway,hsa04640:Hematopoietic cell lineage,hsa04662:B cell receptor signaling pathway,hsa05169:Epstein-Barr virus infection,hsa05340:Primary immunodeficiency,
CD2	CD2 molecule(CD2)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04640:Hematopoietic cell lineage,
CD22	CD22 molecule(CD22)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04640:Hematopoietic cell lineage,hsa04662:B cell receptor signaling pathway,
CD244	CD244 molecule(CD244)	Homo sapiens	hsa04650:Natural killer cell mediated cytotoxicity,
CD247	CD247 molecule(CD247)	Homo sapiens	hsa04650:Natural killer cell mediated cytotoxicity,hsa04660:T cell receptor signaling pathway,hsa05142:Chagas disease (American trypanosomiasis),
CD28	CD28 molecule(CD28)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04660:T cell receptor signaling pathway,hsa04672:Intestinal immune network for IgA production,hsa04940:Type I diabetes mellitus,hsa05162:Measles,hsa05320:Autoimmune thyroid disease,hsa05322:Systemic lupus erythematosus,hsa05323:Rheumatoid arthritis,hsa05330:Allograft rejection,hsa05332:Graft-versus-host disease,hsa05416:Viral myocarditis,
CD33	CD33 molecule(CD33)	Homo sapiens	hsa04640:Hematopoietic cell lineage,
CD3D	CD3d molecule(CD3D)	Homo sapiens	hsa04640:Hematopoietic cell lineage,hsa04660:T cell receptor signaling pathway,hsa05142:Chagas disease (American trypanosomiasis),hsa05162:Measles,hsa05166:HTLV-I infection,hsa05340:Primary immunodeficiency,
CD3E	CD3e molecule(CD3E)	Homo sapiens	hsa04640:Hematopoietic cell lineage,hsa04660:T cell receptor signaling pathway,hsa05142:Chagas disease (American trypanosomiasis),hsa05162:Measles,hsa05166:HTLV-I infection,hsa05340:Primary immunodeficiency,
CD3G	CD3g molecule(CD3G)	Homo sapiens	hsa04640:Hematopoietic cell lineage,hsa04660:T cell receptor signaling pathway,hsa05142:Chagas disease (American trypanosomiasis),hsa05162:Measles,hsa05166:HTLV-I infection,
CD48	CD48 molecule(CD48)	Homo sapiens	hsa04650:Natural killer cell mediated cytotoxicity,
CD5	CD5 molecule(CD5)	Homo sapiens	hsa04640:Hematopoietic cell lineage,
CD58	CD58 molecule(CD58)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa05169:Epstein-Barr virus infection,
CD72	CD72 molecule(CD72)	Homo sapiens	hsa04662:B cell receptor signaling pathway,
