ID	Gene Name	Species	KEGG_PATHWAY
PER1	1-Cys peroxiredoxin antioxidant(PER1)	Zea mays	zma00940:Phenylpropanoid biosynthesis,zma01100:Metabolic pathways,zma01110:Biosynthesis of secondary metabolites,
PER1	1-cysteine peroxiredoxin 1(PER1)	Arabidopsis thaliana	ath00940:Phenylpropanoid biosynthesis,ath01100:Metabolic pathways,ath01110:Biosynthesis of secondary metabolites,
MRPL22	39S ribosomal protein L22, mitochondrial(Mrpl22)	Acyrthosiphon pisum	api03010:Ribosome,
ARNT	4-amino-4-deoxy-L-arabinose lipid A transferase(arnT)	Yersinia enterocolitica subsp. enterocolitica 8081	yen01503:Cationic antimicrobial peptide (CAMP) resistance,
ARNT	4-amino-4-deoxy-L-arabinose lipid A transferase(arnT)	Yersinia pestis CO92	ype01503:Cationic antimicrobial peptide (CAMP) resistance,
ARNT	4-amino-4-deoxy-L-arabinose lipid A transferase(arnT)	Shigella flexneri 2a str. 301	sfl01503:Cationic antimicrobial peptide (CAMP) resistance,
ARNT	4-amino-4-deoxy-L-arabinose lipid A transferase(arnT)	Pseudomonas aeruginosa PAO1	pae01503:Cationic antimicrobial peptide (CAMP) resistance,
ARNT	4-amino-4-deoxy-L-arabinose lipid A transferase(arnT)	Escherichia coli O157:H7 str. Sakai	ecs01503:Cationic antimicrobial peptide (CAMP) resistance,
ARNT	4-amino-4-deoxy-L-arabinose lipid A transferase(arnT)	Escherichia coli UMN026	eum01503:Cationic antimicrobial peptide (CAMP) resistance,
ARNT	4-amino-4-deoxy-L-arabinose lipid A transferase(arnT)	Escherichia coli IAI39	ect01503:Cationic antimicrobial peptide (CAMP) resistance,
ARNT	4-amino-4-deoxy-L-arabinose lipid A transferase(arnT)	Pseudomonas syringae pv. syringae B728a	psb01503:Cationic antimicrobial peptide (CAMP) resistance,
ARNT	4-amino-4-deoxy-L-arabinose lipid A transferase(arnT)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	stm01503:Cationic antimicrobial peptide (CAMP) resistance,
ARNT	4-amino-4-deoxy-L-arabinose lipid A transferase(arnT)	Aeromonas hydrophila subsp. hydrophila ATCC 7966	aha01503:Cationic antimicrobial peptide (CAMP) resistance,
ARNT	4-amino-4-deoxy-L-arabinose lipid A transferase(arnT)	Shigella dysenteriae Sd197	sdy01503:Cationic antimicrobial peptide (CAMP) resistance,
ARNT	4-amino-4-deoxy-L-arabinose lipid A transferase(arnT)	Escherichia coli O83:H1 str. NRG 857C	eln01503:Cationic antimicrobial peptide (CAMP) resistance,
ARNT	4-amino-4-deoxy-L-arabinose transferase(arnT)	Escherichia coli O104:H4 str. 2011C-3493	esl01503:Cationic antimicrobial peptide (CAMP) resistance,
ARNT	4-amino-4-deoxy-L-arabinose transferase(arnT)	Xenorhabdus bovienii SS-2004	xbo01503:Cationic antimicrobial peptide (CAMP) resistance,
ARNT	4-amino-4-deoxy-L-arabinose transferase(arnT)	Enterobacter aerogenes KCTC 2190	eae01503:Cationic antimicrobial peptide (CAMP) resistance,
ARNT	4-amino-4-deoxy-L-arabinose transferase(arnT)	Escherichia coli str. K-12 substr. MG1655	eco01503:Cationic antimicrobial peptide (CAMP) resistance,
PEX6	AAA ATPase domain-containing protein(pex6)	Dictyostelium discoideum AX4	ddi04146:Peroxisome,
PEX6	AAA ATPase domain-containing protein(pex6)	Dictyostelium fasciculatum	dfa04146:Peroxisome,
XRCC2	AAA ATPase domain-containing protein(xrcc2)	Dictyostelium fasciculatum	dfa03440:Homologous recombination,
XRCC2	AAA ATPase domain-containing protein(xrcc2)	Dictyostelium discoideum AX4	ddi03440:Homologous recombination,
PEX6	AAA family ATPase peroxin 6(PEX6)	Saccharomyces cerevisiae S288c	sce04146:Peroxisome,
ABCG1	ABC transporter G family protein(abcG1)	Dictyostelium fasciculatum	dfa02010:ABC transporters,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Callithrix jacchus	cjc05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Equus caballus	ecb05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Nomascus leucogenys	nle05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Pantholops hodgsonii	phd05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Gorilla gorilla	ggo05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Camelus ferus	cfr05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Tupaia chinensis	tup05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Capra hircus	chx05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Bos taurus	bta05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Canis lupus familiaris	cfa05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Macaca fascicularis	mcf05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Felis catus	fca05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Oryctolagus cuniculus	ocu05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Myotis davidii	myd05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Panthera tigris altaica	ptg05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Myotis brandtii	myb05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Pan paniscus	pps05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Ursus maritimus	umr05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Macaca mulatta	mcc05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Ovis aries	oas05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Ailuropoda melanoleuca	aml05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Pan troglodytes	ptr05010:Alzheimer's disease,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Sarcophilus harrisii	shr05010:Alzheimer's disease,
