Gene	KEGG PATHWAY
CRKL	MAPK signaling pathway
FOSL2	Osteoclast differentiation
GATA4	cGMP-PKG signaling pathway
GIT2	Endocytosis
ISL1	Signaling pathways regulating pluripotency of stem cells
JUN	MAPK signaling pathway
NADK	Nicotinate and nicotinamide metabolism
RAB11FIP2	Endocytosis
SEC23A	Protein processing in endoplasmic reticulum
TBK1	Ras signaling pathway
UTP6	Ribosome biogenesis in eukaryotes
WIPF1	Endocytosis
ATF3	HTLV-I infection
ANK3	Proteoglycans in cancer
CSNK1G3	Hedgehog signaling pathway
CFL2	Axon guidance
COL2A1	PI3K-Akt signaling pathway
COL6A2	PI3K-Akt signaling pathway
CFD	Complement and coagulation cascades
CCND1	FoxO signaling pathway
CKAP4	Protein processing in endoplasmic reticulum
ENO3	Glycolysis / Gluconeogenesis
FN1	PI3K-Akt signaling pathway
GPC1	Proteoglycans in cancer
MAPK7	MAPK signaling pathway
MSN	Leukocyte transendothelial migration
MARCKS	MicroRNAs in cancer
NR3C1	Neuroactive ligand-receptor interaction
PLAT	"Transcriptional misregulation in cancer,"
PRKCZ	Rap1 signaling pathway
PTPRZ1	Epithelial cell signaling in Helicobacter pylori infection
RECK	MicroRNAs in cancer
RPS6KB1	ErbB signaling pathway
SLIT2	Axon guidance
TNR	PI3K-Akt signaling pathway
TCEB1	Pathways in cancer - Renal cell carcinoma
TOB1	RNA degradation
ZFPM2	MicroRNAs in cancer
