ID	Gene Name	Species	KEGG_PATHWAY
DHCR24	24-dehydrocholesterol reductase(DHCR24)	Homo sapiens	hsa00100:Steroid biosynthesis,hsa01100:Metabolic pathways,
BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1(BPNT1)	Homo sapiens	hsa00920:Sulfur metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,
PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1(PAPSS1)	Homo sapiens	hsa00230:Purine metabolism,hsa00450:Selenocompound metabolism,hsa00920:Sulfur metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,
PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2(PAPSS2)	Homo sapiens	hsa00230:Purine metabolism,hsa00450:Selenocompound metabolism,hsa00920:Sulfur metabolism,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2(HMGCS2)	Homo sapiens	hsa00072:Synthesis and degradation of ketone bodies,hsa00280:Valine, leucine and isoleucine degradation,hsa00650:Butanoate metabolism,hsa00900:Terpenoid backbone biosynthesis,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,
BDH1	3-hydroxybutyrate dehydrogenase, type 1(BDH1)	Homo sapiens	hsa00072:Synthesis and degradation of ketone bodies,hsa00650:Butanoate metabolism,hsa01100:Metabolic pathways,
HIBADH	3-hydroxyisobutyrate dehydrogenase(HIBADH)	Homo sapiens	hsa00280:Valine, leucine and isoleucine degradation,hsa01100:Metabolic pathways,
HMGCL	3-hydroxymethyl-3-methylglutaryl-CoA lyase(HMGCL)	Homo sapiens	hsa00072:Synthesis and degradation of ketone bodies,hsa00280:Valine, leucine and isoleucine degradation,hsa00650:Butanoate metabolism,hsa01100:Metabolic pathways,hsa04146:Peroxisome,
OXCT1	3-oxoacid CoA-transferase 1(OXCT1)	Homo sapiens	hsa00072:Synthesis and degradation of ketone bodies,hsa00280:Valine, leucine and isoleucine degradation,hsa00650:Butanoate metabolism,
OXCT2	3-oxoacid CoA-transferase 2(OXCT2)	Homo sapiens	hsa00072:Synthesis and degradation of ketone bodies,hsa00280:Valine, leucine and isoleucine degradation,hsa00650:Butanoate metabolism,
ABAT	4-aminobutyrate aminotransferase(ABAT)	Homo sapiens	hsa00250:Alanine, aspartate and glutamate metabolism,hsa00280:Valine, leucine and isoleucine degradation,hsa00410:beta-Alanine metabolism,hsa00640:Propanoate metabolism,hsa00650:Butanoate metabolism,hsa01100:Metabolic pathways,hsa04727:GABAergic synapse,
HPD	4-hydroxyphenylpyruvate dioxygenase(HPD)	Homo sapiens	hsa00130:Ubiquinone and other terpenoid-quinone biosynthesis,hsa00350:Tyrosine metabolism,hsa00360:Phenylalanine metabolism,hsa01100:Metabolic pathways,
NT5C	5', 3'-nucleotidase, cytosolic(NT5C)	Homo sapiens	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,
NT5E	5'-nucleotidase ecto(NT5E)	Homo sapiens	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,
NT5C1A	5'-nucleotidase, cytosolic IA(NT5C1A)	Homo sapiens	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,
NT5C1B	5'-nucleotidase, cytosolic IB(NT5C1B)	Homo sapiens	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,
NT5C2	5'-nucleotidase, cytosolic II(NT5C2)	Homo sapiens	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,
NT5C3A	5'-nucleotidase, cytosolic IIIA(NT5C3A)	Homo sapiens	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,
PTS	6-pyruvoyltetrahydropterin synthase(PTS)	Homo sapiens	hsa00790:Folate biosynthesis,hsa01100:Metabolic pathways,
DHCR7	7-dehydrocholesterol reductase(DHCR7)	Homo sapiens	hsa00100:Steroid biosynthesis,hsa01100:Metabolic pathways,
ARF6	ADP ribosylation factor 6(ARF6)	Homo sapiens	hsa04014:Ras signaling pathway,hsa04144:Endocytosis,hsa04666:Fc gamma R-mediated phagocytosis,
ACLY	ATP citrate lyase(ACLY)	Homo sapiens	hsa00020:Citrate cycle (TCA cycle),hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,
ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1(ATP2A1)	Homo sapiens	hsa04020:Calcium signaling pathway,hsa04022:cGMP-PKG signaling pathway,hsa04972:Pancreatic secretion,hsa05010:Alzheimer's disease,
AUH	AU RNA binding methylglutaconyl-CoA hydratase(AUH)	Homo sapiens	hsa00280:Valine, leucine and isoleucine degradation,hsa01100:Metabolic pathways,
AGFG1	ArfGAP with FG repeats 1(AGFG1)	Homo sapiens	hsa05164:Influenza A,
BRAP	BRCA1 associated protein(BRAP)	Homo sapiens	hsa04014:Ras signaling pathway,
CCR6	C-C motif chemokine receptor 6(CCR6)	Homo sapiens	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,
CD38	CD38 molecule(CD38)	Homo sapiens	hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,hsa04020:Calcium signaling pathway,hsa04921:Oxytocin signaling pathway,hsa04970:Salivary secretion,hsa04972:Pancreatic secretion,hsa05169:Epstein-Barr virus infection,
DHX58	DExH-box helicase 58(DHX58)	Homo sapiens	hsa04622:RIG-I-like receptor signaling pathway,
FBXO4	F-box protein 4(FBXO4)	Homo sapiens	hsa04120:Ubiquitin mediated proteolysis,
FANCA	Fanconi anemia complementation group A(FANCA)	Homo sapiens	hsa03460:Fanconi anemia pathway,
FANCB	Fanconi anemia complementation group B(FANCB)	Homo sapiens	hsa03460:Fanconi anemia pathway,
FANCE	Fanconi anemia complementation group E(FANCE)	Homo sapiens	hsa03460:Fanconi anemia pathway,
FANCF	Fanconi anemia complementation group F(FANCF)	Homo sapiens	hsa03460:Fanconi anemia pathway,
FANCL	Fanconi anemia complementation group L(FANCL)	Homo sapiens	hsa03460:Fanconi anemia pathway,hsa04120:Ubiquitin mediated proteolysis,
GABARAPL2	GABA type A receptor associated protein like 2(GABARAPL2)	Homo sapiens	hsa04068:FoxO signaling pathway,hsa04140:Regulation of autophagy,hsa04727:GABAergic synapse,
MALT1	MALT1 paracaspase(MALT1)	Homo sapiens	hsa04064:NF-kappa B signaling pathway,hsa04660:T cell receptor signaling pathway,hsa04662:B cell receptor signaling pathway,hsa05152:Tuberculosis,
MLX	MLX, MAX dimerization protein(MLX)	Homo sapiens	hsa04931:Insulin resistance,hsa04932:Non-alcoholic fatty liver disease (NAFLD),
MPG	N-methylpurine DNA glycosylase(MPG)	Homo sapiens	hsa03410:Base excision repair,
