ID	Gene Name	Species	KEGG_PATHWAY
HACL1	2-hydroxyacyl-CoA lyase 1(HACL1)	Homo sapiens	hsa04146:Peroxisome,
PGLS	6-phosphogluconolactonase(PGLS)	Homo sapiens	hsa00030:Pentose phosphate pathway,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,hsa01200:Carbon metabolism,
APIP	APAF1 interacting protein(APIP)	Homo sapiens	hsa00270:Cysteine and methionine metabolism,hsa01100:Metabolic pathways,
ABCB5	ATP binding cassette subfamily B member 5(ABCB5)	Homo sapiens	hsa02010:ABC transporters,
ATRIP	ATR interacting protein(ATRIP)	Homo sapiens	hsa03460:Fanconi anemia pathway,
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1(ACAP1)	Homo sapiens	hsa04144:Endocytosis,
BCL10	B-cell CLL/lymphoma 10(BCL10)	Homo sapiens	hsa04064:NF-kappa B signaling pathway,hsa04660:T cell receptor signaling pathway,hsa04662:B cell receptor signaling pathway,hsa05152:Tuberculosis,
BCAP31	B-cell receptor-associated protein 31(BCAP31)	Homo sapiens	hsa04141:Protein processing in endoplasmic reticulum,
BAK1	BCL2 antagonist/killer 1(BAK1)	Homo sapiens	hsa04141:Protein processing in endoplasmic reticulum,hsa05203:Viral carcinogenesis,hsa05206:MicroRNAs in cancer,
BAX	BCL2 associated X, apoptosis regulator(BAX)	Homo sapiens	hsa04071:Sphingolipid signaling pathway,hsa04115:p53 signaling pathway,hsa04141:Protein processing in endoplasmic reticulum,hsa04210:Apoptosis,hsa04722:Neurotrophin signaling pathway,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05014:Amyotrophic lateral sclerosis (ALS),hsa05016:Huntington's disease,hsa05020:Prion diseases,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05203:Viral carcinogenesis,hsa05210:Colorectal cancer,
MCL1	BCL2 family apoptosis regulator(MCL1)	Homo sapiens	hsa04151:PI3K-Akt signaling pathway,hsa05206:MicroRNAs in cancer,
BNIP1	BCL2 interacting protein 1(BNIP1)	Homo sapiens	hsa04130:SNARE interactions in vesicular transport,
BNIP3	BCL2 interacting protein 3(BNIP3)	Homo sapiens	hsa04068:FoxO signaling pathway,hsa05134:Legionellosis,
